HOU,1.333,0,12,23
STL,1.167,0,12,20
DAL,1.167,0,13,28
CIN,0.292,0,17,31
MIA,-0.875,1,13,23
WAS,-1.000,1,10,17
NE,-1.250,1,21,36
DET,-1.458,1,13,22
KC,-1.625,1,12,22
OAK,-1.750,1,9,11
NYG,-1.792,1,13,22
MIN,-1.875,1,17,22
SF,-1.958,1,16,31
NYJ,-2.042,1,11,18
TEN,-2.083,1,8,15
JAC,-2.208,1,5,9
CLE,-3.042,1,11,16
SEA,-3.083,1,22,36
ATL,-3.125,1,13,23
NO,-3.167,1,15,25
PIT,-3.250,1,16,27
PHI,-3.583,1,12,24
DEN,-3.667,1,22,38
CAR,-4.000,1,14,26
TB,-4.292,1,6,13
ARI,-4.417,1,17,26
BUF,-4.500,1,13,21
SD,-5.000,1,13,25
CHI,-5.792,1,12,23
BAL,-5.833,1,18,28
GB,-6.000,1,19,31
IND,-6.917,1,19,33
