DEN,35.792,1,22,38
NE,32.708,1,21,36
GB,31.417,1,19,31
NO,29.333,1,15,25
SEA,28.542,1,22,36
CIN,28.500,1,17,31
DAL,27.583,1,13,28
NYG,25.958,1,13,22
DET,25.667,1,13,22
BAL,25.625,1,18,28
PHI,25.583,1,12,24
IND,25.333,1,19,33
MIN,25.250,1,17,22
PIT,25.000,1,16,27
HOU,24.542,1,12,23
ATL,24.250,1,13,23
BUF,23.958,1,13,21
SF,22.625,0,16,31
ARI,22.250,1,17,26
CHI,22.042,0,12,23
MIA,22.000,1,13,23
STL,22.000,1,12,20
SD,22.000,0,13,25
WAS,21.917,0,10,17
KC,21.042,1,12,22
CAR,20.958,0,14,26
TEN,20.667,1,8,15
OAK,20.542,1,9,11
CLE,20.250,1,11,16
TB,19.583,0,6,13
NYJ,19.458,1,11,18
JAC,13.792,0,5,9
