BAL,13.625,1,6,10
SEA,15.375,1,7,12
DET,15.625,1,7,11
KC,15.750,1,6,9
BUF,16.000,1,5,9
SD,16.625,1,5,9
NE,16.750,1,7,12
ARI,17.500,1,7,11
IND,17.750,1,6,11
CAR,19.750,1,4,7
HOU,20.000,0,5,9
GB,20.375,1,8,12
CLE,20.625,1,4,7
DEN,20.750,1,8,12
SF,20.750,1,4,8
MIN,21.375,1,5,7
DAL,21.375,1,4,12
STL,22.625,0,3,6
NYJ,23.125,1,2,4
PHI,23.250,1,6,10
JAC,23.625,1,3,3
MIA,23.750,0,4,8
TB,23.750,1,0,2
CIN,24.375,0,5,10
NYG,24.500,1,3,6
PIT,24.750,0,6,11
ATL,25.250,1,3,6
TEN,25.625,1,1,2
CHI,25.750,1,2,5
WAS,27.250,1,3,4
OAK,27.625,1,3,3
NO,27.750,0,3,7
