SEA,16.375,1,7,12
HOU,18.375,0,5,9
CIN,18.625,0,5,10
KC,19.375,1,6,9
DET,19.625,1,7,11
ARI,19.875,1,7,11
BUF,20.125,1,5,9
PIT,21.250,0,6,11
MIN,21.500,1,5,7
CLE,21.500,1,4,7
STL,21.625,0,3,6
SF,21.750,1,4,8
NE,22.375,1,7,12
DAL,22.625,1,4,12
MIA,22.875,0,4,8
GB,23.125,1,8,12
DEN,23.500,1,8,12
BAL,24.125,1,6,10
NO,25.250,0,3,7
NYG,25.500,1,3,6
PHI,26.750,1,6,10
SD,26.875,1,5,9
ATL,26.875,1,3,6
CAR,27.000,1,4,7
NYJ,27.000,1,2,4
WAS,27.500,1,3,4
TB,27.500,1,0,2
JAC,27.875,1,3,3
IND,28.375,1,6,11
OAK,28.875,1,3,3
TEN,29.125,1,1,2
CHI,29.500,1,2,5
