CIN,5.750,0,5,10
PIT,3.500,0,6,11
NO,2.500,0,3,7
HOU,1.625,0,5,9
STL,1.000,0,3,6
MIA,0.875,0,4,8
MIN,-0.125,1,5,7
WAS,-0.250,1,3,4
CLE,-0.875,1,4,7
SEA,-1.000,1,7,12
NYG,-1.000,1,3,6
SF,-1.000,1,4,8
OAK,-1.250,1,3,3
DAL,-1.250,1,4,12
ATL,-1.625,1,3,6
ARI,-2.375,1,7,11
GB,-2.750,1,8,12
DEN,-2.750,1,8,12
PHI,-3.500,1,6,10
TEN,-3.500,1,1,2
KC,-3.625,1,6,9
CHI,-3.750,1,2,5
TB,-3.750,1,0,2
NYJ,-3.875,1,2,4
DET,-4.000,1,7,11
BUF,-4.125,1,5,9
JAC,-4.250,1,3,3
NE,-5.625,1,7,12
CAR,-7.250,1,4,7
SD,-10.250,1,5,9
BAL,-10.500,1,6,10
IND,-10.625,1,6,11
