NO,32.333,1,3,5
CAR,32.286,1,7,13
NE,31.429,1,6,11
ARI,30.500,0,5,11
PIT,30.143,1,5,8
NYJ,27.857,1,5,8
SEA,27.000,1,4,8
JAC,25.857,1,4,5
NYG,25.833,0,3,6
BUF,25.500,1,3,6
ATL,25.000,1,3,6
CIN,25.000,0,5,10
KC,24.833,0,4,8
GB,24.714,1,5,9
DET,24.429,1,3,4
WAS,24.429,1,5,6
PHI,22.500,0,3,6
OAK,21.333,0,2,6
DEN,21.000,0,4,10
MIA,20.833,1,2,5
BAL,20.833,0,2,4
CLE,20.714,1,2,3
CHI,20.571,0,1,5
IND,20.500,0,3,6
TB,20.429,0,3,6
SD,19.571,1,2,3
TEN,19.429,0,1,3
MIN,19.000,0,4,8
DAL,19.000,1,1,4
HOU,19.000,0,4,6
STL,18.286,1,4,5
SF,13.500,0,3,4
