CAR,14.286,1,7,13
NE,13.429,1,6,11
PIT,12.429,1,5,8
ARI,10.667,0,5,11
NYJ,9.714,1,5,8
KC,8.667,1,4,8
GB,8.000,1,5,9
CIN,7.286,0,5,10
SEA,7.167,0,4,8
WAS,6.714,1,5,6
ATL,3.167,1,3,6
JAC,2.714,1,4,5
DEN,2.500,0,4,10
NYG,2.167,1,3,6
HOU,2.000,1,4,6
PHI,1.000,1,3,6
NO,0.500,1,3,5
BUF,0.500,0,3,6
STL,-0.714,1,4,5
IND,-1.167,1,3,6
DET,-1.571,1,3,4
MIN,-2.000,0,4,8
SF,-2.333,1,3,4
CLE,-5.143,1,2,3
BAL,-5.333,0,2,4
MIA,-6.167,0,2,5
OAK,-6.333,0,2,6
CHI,-6.429,0,1,5
TB,-6.857,0,3,6
SD,-7.286,0,2,3
TEN,-7.286,0,1,3
DAL,-10.000,0,1,4
