SF,15.926,1,37,62
SEA,16.852,1,39,63
BAL,17.259,1,41,65
PIT,17.655,1,39,68
NE,18.473,1,50,84
GB,18.800,1,45,76
NYJ,19.218,1,31,54
CIN,19.564,1,35,64
CAR,19.927,1,31,55
SD,20.091,1,32,58
KC,20.333,1,27,51
IND,20.481,1,37,65
ARI,20.556,1,36,60
ATL,20.704,1,35,61
HOU,21.164,1,29,54
BUF,21.463,1,26,43
CLE,21.509,1,22,33
DEN,21.963,1,36,68
MIN,22.259,1,34,51
CHI,22.291,1,28,54
NO,22.296,1,37,67
PHI,22.556,1,28,59
MIA,22.593,0,24,48
STL,22.982,1,22,35
NYG,23.093,1,29,55
DET,23.182,1,27,44
TEN,23.818,1,22,41
DAL,23.889,0,27,57
JAC,23.927,1,23,34
WAS,24.109,1,22,38
TB,24.691,1,17,36
OAK,26.056,1,21,38
