SF,0.678,1,18,27
NYJ,0.704,1,15,28
SEA,0.713,1,13,19
BUF,0.748,1,10,16
BAL,0.767,1,21,33
NE,0.787,1,23,37
SD,0.804,1,17,30
DET,0.820,1,11,18
IND,0.838,1,15,26
PIT,0.851,1,18,33
CIN,0.851,1,13,23
CAR,0.859,1,10,16
ATL,0.859,1,19,32
MIN,0.861,1,13,21
NO,0.873,1,19,37
JAC,0.880,1,14,20
KC,0.899,1,11,21
TEN,0.906,1,13,23
CLE,0.910,1,9,14
HOU,0.915,1,13,25
NYG,0.921,1,13,27
GB,0.935,1,21,36
DAL,0.975,1,13,25
OAK,0.988,1,10,21
PHI,0.992,1,13,29
STL,0.995,1,6,10
ARI,1.002,0,14,23
DEN,1.019,0,10,20
CHI,1.028,0,15,26
TB,1.054,0,8,17
WAS,1.085,0,7,15
MIA,1.158,0,9,20
