GB,6.625,1,21,36
CHI,6.417,1,15,26
BAL,6.167,1,21,33
SF,5.875,1,18,27
DAL,5.667,1,13,25
STL,5.208,1,6,10
DET,4.750,1,11,18
JAC,4.667,1,14,20
SEA,4.458,1,13,19
PIT,4.333,1,18,33
ARI,4.333,1,14,23
MIN,4.125,1,13,21
TEN,4.042,1,13,23
MIA,3.750,1,9,20
ATL,3.375,1,19,32
NE,3.250,1,23,37
NO,2.625,1,19,37
SD,1.958,1,17,30
CIN,1.708,1,13,23
BUF,1.042,1,10,16
WAS,0.833,1,7,15
DEN,0.208,1,10,20
OAK,0.083,1,10,21
CLE,0.000,0,9,14
NYG,-0.083,0,13,27
KC,-0.083,0,11,21
IND,-0.167,0,15,26
HOU,-0.792,0,13,25
PHI,-1.083,0,13,29
NYJ,-1.167,0,15,28
TB,-1.250,0,8,17
CAR,-2.292,0,10,16
