JAC,2.333,1,14,20
SEA,2.167,1,13,19
SF,2.000,1,18,27
CLE,1.800,1,9,14
BAL,1.750,1,21,33
BUF,1.667,1,10,16
CAR,1.667,1,10,16
NE,1.643,1,23,37
MIN,1.625,1,13,21
DET,1.571,1,11,18
ARI,1.556,1,14,23
STL,1.500,1,6,10
ATL,1.462,1,19,32
GB,1.400,1,21,36
CHI,1.364,1,15,26
IND,1.364,1,15,26
SD,1.308,1,17,30
CIN,1.300,1,13,23
TEN,1.300,1,13,23
PIT,1.200,1,18,33
NYJ,1.154,1,15,28
KC,1.100,1,11,21
HOU,1.083,1,13,25
DAL,1.083,1,13,25
NO,1.056,1,19,37
DEN,1.000,0,10,20
NYG,0.929,0,13,27
OAK,0.909,0,10,21
TB,0.889,0,8,17
WAS,0.875,0,7,15
MIA,0.818,0,9,20
PHI,0.813,0,13,29
