year,team,ishome,week,pts,ptsallowed
2013,DEN,1,1,49,27
2013,BAL,0,1,27,49
2013,BUF,1,1,21,23
2013,NE,0,1,23,21
2013,CAR,1,1,7,12
2013,SEA,0,1,12,7
2013,CHI,1,1,24,21
2013,CIN,0,1,21,24
2013,CLE,1,1,10,23
2013,MIA,0,1,23,10
2013,DET,1,1,34,24
2013,MIN,0,1,24,34
2013,IND,1,1,21,17
2013,OAK,0,1,17,21
2013,JAC,1,1,2,28
2013,KC,0,1,28,2
2013,NYJ,1,1,18,17
2013,TB,0,1,17,18
2013,NO,1,1,23,17
2013,ATL,0,1,17,23
2013,PIT,1,1,9,16
2013,TEN,0,1,16,9
2013,STL,1,1,27,24
2013,ARI,0,1,24,27
2013,SF,1,1,34,28
2013,GB,0,1,28,34
2013,DAL,1,1,36,31
2013,NYG,0,1,31,36
2013,WAS,1,1,27,33
2013,PHI,0,1,33,27
2013,SD,1,1,28,31
2013,HOU,0,1,31,28
2013,NE,1,2,13,10
2013,NYJ,0,2,10,13
2013,ATL,1,2,31,24
2013,STL,0,2,24,31
2013,BAL,1,2,14,6
2013,CLE,0,2,6,14
2013,BUF,1,2,24,23
2013,CAR,0,2,23,24
2013,CHI,1,2,31,30
2013,MIN,0,2,30,31
2013,GB,1,2,38,20
2013,WAS,0,2,20,38
2013,HOU,1,2,30,24
2013,TEN,0,2,24,30
2013,IND,1,2,20,24
2013,MIA,0,2,24,20
2013,KC,1,2,17,16
2013,DAL,0,2,16,17
2013,PHI,1,2,30,33
2013,SD,0,2,33,30
2013,ARI,1,2,25,21
2013,DET,0,2,21,25
2013,TB,1,2,14,16
2013,NO,0,2,16,14
2013,NYG,1,2,23,41
2013,DEN,0,2,41,23
2013,OAK,1,2,19,9
2013,JAC,0,2,9,19
2013,SEA,1,2,29,3
2013,SF,0,2,3,29
2013,CIN,1,2,20,10
2013,PIT,0,2,10,20
2013,PHI,1,3,16,26
2013,KC,0,3,26,16
2013,BAL,1,3,30,9
2013,HOU,0,3,9,30
2013,CIN,1,3,34,30
2013,GB,0,3,30,34
2013,DAL,1,3,31,7
2013,STL,0,3,7,31
2013,MIA,1,3,27,23
2013,ATL,0,3,23,27
2013,MIN,1,3,27,31
2013,CLE,0,3,31,27
2013,NYJ,1,3,27,20
2013,BUF,0,3,20,27
2013,NE,1,3,23,3
2013,TB,0,3,3,23
2013,NO,1,3,31,7
2013,ARI,0,3,7,31
2013,TEN,1,3,20,17
2013,SD,0,3,17,20
2013,WAS,1,3,20,27
2013,DET,0,3,27,20
2013,CAR,1,3,38,0
2013,NYG,0,3,0,38
2013,SF,1,3,7,27
2013,IND,0,3,27,7
2013,SEA,1,3,45,17
2013,JAC,0,3,17,45
2013,PIT,1,3,23,40
2013,CHI,0,3,40,23
2013,DEN,1,3,37,21
2013,OAK,0,3,21,37
2013,STL,1,4,11,35
2013,SF,0,4,35,11
2013,BUF,1,4,23,20
2013,BAL,0,4,20,23
2013,CLE,1,4,17,6
2013,CIN,0,4,6,17
2013,DET,1,4,40,32
2013,CHI,0,4,32,40
2013,HOU,1,4,20,23
2013,SEA,0,4,23,20
2013,JAC,1,4,3,37
2013,IND,0,4,37,3
2013,KC,1,4,31,7
2013,NYG,0,4,7,31
2013,MIN,1,4,34,27
2013,PIT,0,4,27,34
2013,TB,1,4,10,13
2013,ARI,0,4,13,10
2013,TEN,1,4,38,13
2013,NYJ,0,4,13,38
2013,DEN,1,4,52,20
2013,PHI,0,4,20,52
2013,OAK,1,4,14,24
2013,WAS,0,4,24,14
2013,SD,1,4,30,21
2013,DAL,0,4,21,30
2013,ATL,1,4,23,30
2013,NE,0,4,30,23
2013,NO,1,4,38,17
2013,MIA,0,4,17,38
2013,CLE,1,5,37,24
2013,BUF,0,5,24,37
2013,CHI,1,5,18,26
2013,NO,0,5,26,18
2013,CIN,1,5,13,6
2013,NE,0,5,6,13
2013,GB,1,5,22,9
2013,DET,0,5,9,22
2013,IND,1,5,34,28
2013,SEA,0,5,28,34
2013,MIA,1,5,23,26
2013,BAL,0,5,26,23
2013,NYG,1,5,21,36
2013,PHI,0,5,36,21
2013,STL,1,5,34,20
2013,JAC,0,5,20,34
2013,TEN,1,5,17,26
2013,KC,0,5,26,17
2013,ARI,1,5,22,6
2013,CAR,0,5,6,22
2013,DAL,1,5,48,51
2013,DEN,0,5,51,48
2013,OAK,1,5,27,17
2013,SD,0,5,17,27
2013,SF,1,5,34,3
2013,HOU,0,5,3,34
2013,ATL,1,5,28,30
2013,NYJ,0,5,30,28
2013,CHI,1,6,27,21
2013,NYG,0,6,21,27
2013,BAL,1,6,17,19
2013,GB,0,6,19,17
2013,BUF,1,6,24,27
2013,CIN,0,6,27,24
2013,CLE,1,6,17,31
2013,DET,0,6,31,17
2013,HOU,1,6,13,38
2013,STL,0,6,38,13
2013,KC,1,6,24,7
2013,OAK,0,6,7,24
2013,MIN,1,6,10,35
2013,CAR,0,6,35,10
2013,NYJ,1,6,6,19
2013,PIT,0,6,19,6
2013,TB,1,6,20,31
2013,PHI,0,6,31,20
2013,DEN,1,6,35,19
2013,JAC,0,6,19,35
2013,SEA,1,6,20,13
2013,TEN,0,6,13,20
2013,NE,1,6,30,27
2013,NO,0,6,27,30
2013,SF,1,6,32,20
2013,ARI,0,6,20,32
2013,DAL,1,6,31,16
2013,WAS,0,6,16,31
2013,SD,1,6,19,9
2013,IND,0,6,9,19
2013,ARI,1,7,22,34
2013,SEA,0,7,34,22
2013,ATL,1,7,31,23
2013,TB,0,7,23,31
2013,CAR,1,7,30,15
2013,STL,0,7,15,30
2013,DET,1,7,24,27
2013,CIN,0,7,27,24
2013,GB,1,7,31,13
2013,CLE,0,7,13,31
2013,JAC,1,7,6,24
2013,SD,0,7,24,6
2013,KC,1,7,17,16
2013,HOU,0,7,16,17
2013,MIA,1,7,21,23
2013,BUF,0,7,23,21
2013,NYJ,1,7,30,27
2013,NE,0,7,27,30
2013,PHI,1,7,3,17
2013,DAL,0,7,17,3
2013,WAS,1,7,45,41
2013,CHI,0,7,41,45
2013,TEN,1,7,17,31
2013,SF,0,7,31,17
2013,PIT,1,7,19,16
2013,BAL,0,7,16,19
2013,IND,1,7,39,33
2013,DEN,0,7,33,39
2013,NYG,1,7,23,7
2013,MIN,0,7,7,23
2013,TB,1,8,13,31
2013,CAR,0,8,31,13
2013,DET,1,8,31,30
2013,DAL,0,8,30,31
2013,JAC,1,8,10,42
2013,SF,0,8,42,10
2013,KC,1,8,23,17
2013,CLE,0,8,17,23
2013,NE,1,8,27,17
2013,MIA,0,8,17,27
2013,NO,1,8,35,17
2013,BUF,0,8,17,35
2013,PHI,1,8,7,15
2013,NYG,0,8,15,7
2013,OAK,1,8,21,18
2013,PIT,0,8,18,21
2013,CIN,1,8,49,9
2013,NYJ,0,8,9,49
2013,ARI,1,8,27,13
2013,ATL,0,8,13,27
2013,DEN,1,8,45,21
2013,WAS,0,8,21,45
2013,MIN,1,8,31,44
2013,GB,0,8,44,31
2013,STL,1,8,9,14
2013,SEA,0,8,14,9
2013,MIA,1,9,22,20
2013,CIN,0,9,20,22
2013,BUF,1,9,13,23
2013,KC,0,9,23,13
2013,CAR,1,9,34,10
2013,ATL,0,9,10,34
2013,DAL,1,9,27,23
2013,MIN,0,9,23,27
2013,NYJ,1,9,26,20
2013,NO,0,9,20,26
2013,STL,1,9,21,28
2013,TEN,0,9,28,21
2013,WAS,1,9,30,24
2013,SD,0,9,24,30
2013,OAK,1,9,20,49
2013,PHI,0,9,49,20
2013,SEA,1,9,27,24
2013,TB,0,9,24,27
2013,CLE,1,9,24,18
2013,BAL,0,9,18,24
2013,NE,1,9,55,31
2013,PIT,0,9,31,55
2013,HOU,1,9,24,27
2013,IND,0,9,27,24
2013,GB,1,9,20,27
2013,CHI,0,9,27,20
2013,MIN,1,10,34,27
2013,WAS,0,10,27,34
2013,ATL,1,10,10,33
2013,SEA,0,10,33,10
2013,BAL,1,10,20,17
2013,CIN,0,10,17,20
2013,CHI,1,10,19,21
2013,DET,0,10,21,19
2013,GB,1,10,13,27
2013,PHI,0,10,27,13
2013,IND,1,10,8,38
2013,STL,0,10,38,8
2013,NYG,1,10,24,20
