SEA,13.667,1,22,36
SF,17.458,1,16,31
BAL,17.875,1,18,28
ARI,18.208,1,17,26
CAR,18.375,1,14,26
IND,19.292,1,19,33
SD,19.292,1,13,25
NE,19.833,1,21,36
DEN,19.875,1,22,38
GB,20.167,1,19,31
KC,20.250,1,12,22
PIT,20.292,1,16,27
CIN,20.333,0,17,31
BUF,20.917,1,13,21
MIA,20.917,1,13,23
CLE,21.625,1,11,16
CHI,22.042,1,12,23
DET,22.083,1,13,22
NYG,22.583,1,13,22
ATL,22.583,1,13,23
TB,22.708,1,6,13
STL,22.792,0,12,20
HOU,22.875,0,12,23
NO,23.042,1,15,25
NYJ,23.208,1,11,18
MIN,23.458,1,17,22
PHI,23.750,1,12,24
DAL,25.250,0,13,28
TEN,25.833,1,8,15
JAC,26.083,1,5,9
WAS,26.667,1,10,17
OAK,27.208,1,9,11
