GB,18.750,1,8,12
DEN,10.500,1,8,12
PIT,9.750,1,6,11
DET,8.875,1,7,11
OAK,8.375,1,3,3
CIN,8.125,1,5,10
NE,7.500,1,7,12
STL,6.750,1,3,6
PHI,6.000,1,6,10
KC,5.625,1,6,9
JAC,3.625,1,3,3
MIN,3.125,1,5,7
ATL,3.125,1,3,6
SEA,3.000,1,7,12
MIA,2.750,1,4,8
HOU,2.250,1,5,9
ARI,2.000,1,7,11
CLE,1.125,1,4,7
BUF,1.125,1,5,9
SD,1.000,1,5,9
NYJ,0.625,1,2,4
SF,0.000,0,4,8
BAL,-0.375,0,6,10
NYG,-1.000,0,3,6
IND,-1.250,0,6,11
TEN,-1.250,0,1,2
WAS,-2.125,0,3,4
CHI,-2.375,0,2,5
NO,-3.625,0,3,7
CAR,-5.875,0,4,7
TB,-6.125,0,0,2
DAL,-10.375,0,4,12
