GB,1.000,1,8,12
DEN,1.000,1,8,12
DET,0.875,1,7,11
NE,0.875,1,7,12
SEA,0.875,1,7,12
ARI,0.875,1,7,11
PIT,0.750,1,6,11
PHI,0.750,1,6,10
KC,0.750,1,6,9
BAL,0.750,1,6,10
IND,0.750,1,6,11
CIN,0.625,0,5,10
MIN,0.625,1,5,7
HOU,0.625,1,5,9
BUF,0.625,1,5,9
SD,0.625,1,5,9
MIA,0.500,0,4,8
CLE,0.500,1,4,7
SF,0.500,0,4,8
CAR,0.500,1,4,7
DAL,0.500,0,4,12
OAK,0.375,1,3,3
STL,0.375,0,3,6
JAC,0.375,1,3,3
ATL,0.375,0,3,6
NYG,0.375,0,3,6
WAS,0.375,1,3,4
NO,0.375,0,3,7
NYJ,0.250,0,2,4
CHI,0.250,0,2,5
TEN,0.125,0,1,2
TB,0.000,0,0,2
