NE,13.764,1,50,84
GB,12.309,1,45,76
SEA,8.259,1,39,63
NO,8.259,1,37,67
BAL,8.241,1,41,65
PIT,7.745,1,39,68
SF,6.333,1,37,62
DEN,5.389,1,36,68
CIN,5.255,1,35,64
ATL,4.519,1,35,61
SD,4.255,1,32,58
IND,3.148,1,37,65
PHI,2.778,1,28,59
ARI,2.722,1,36,60
NYJ,2.491,1,31,54
HOU,2.327,1,29,54
NYG,2.315,1,29,55
DAL,2.148,1,27,57
DET,2.145,1,27,44
MIN,2.093,1,34,51
CAR,1.164,1,31,55
BUF,0.704,1,26,43
CHI,0.564,1,28,54
KC,-0.167,1,27,51
MIA,-0.759,1,24,48
TEN,-2.036,1,22,41
CLE,-3.364,1,22,33
WAS,-3.473,1,22,38
STL,-3.945,1,22,35
JAC,-5.545,1,23,34
OAK,-5.593,1,21,38
TB,-5.891,0,17,36
