BAL,0.323,1,41,65
MIN,0.321,1,34,51
SEA,0.286,1,39,63
NE,0.279,1,50,84
GB,0.244,1,45,76
SF,0.231,1,37,62
ARI,0.230,1,36,60
JAC,0.214,1,23,34
CLE,0.196,1,22,33
IND,0.176,1,37,65
DET,0.176,1,27,44
ATL,0.175,1,35,61
BUF,0.172,1,26,43
PIT,0.172,1,39,68
STL,0.159,1,22,35
NO,0.140,1,37,67
NYJ,0.138,1,31,54
CAR,0.119,1,31,55
WAS,0.104,1,22,38
SD,0.100,1,32,58
CIN,0.099,1,35,64
DEN,0.085,1,36,68
OAK,0.080,1,21,38
NYG,0.064,1,29,55
HOU,0.064,1,29,54
KC,0.064,1,27,51
TEN,0.048,1,22,41
CHI,0.028,1,28,54
MIA,0.008,1,24,48
TB,-0.043,0,17,36
PHI,-0.045,0,28,59
DAL,-0.045,0,27,57
