MIA,3.167,0,9,20
WAS,1.833,0,7,15
TB,1.333,0,8,17
CHI,0.583,0,15,26
DEN,0.458,0,10,20
ARI,0.042,0,14,23
STL,-0.125,1,6,10
PHI,-0.167,1,13,29
OAK,-0.292,1,10,21
DAL,-0.542,1,13,25
GB,-1.250,1,21,36
HOU,-1.917,1,13,25
CLE,-2.000,1,9,14
NYG,-2.000,1,13,27
TEN,-2.167,1,13,23
KC,-2.417,1,11,21
PIT,-2.625,1,18,33
NO,-2.792,1,19,37
JAC,-3.000,1,14,20
ATL,-3.042,1,19,32
CIN,-3.375,1,13,23
MIN,-3.458,1,13,21
CAR,-3.625,1,10,16
IND,-4.125,1,15,26
BAL,-4.375,1,21,33
SD,-4.625,1,17,30
NE,-4.667,1,23,37
DET,-5.167,1,11,18
NYJ,-6.542,1,15,28
SF,-6.833,1,18,27
BUF,-7.125,1,10,16
SEA,-7.750,1,13,19
