GB,6.091,1,45,76
DET,5.698,1,27,44
NO,5.283,1,37,67
SEA,4.784,1,39,63
BAL,4.518,1,41,65
STL,4.388,1,22,35
ARI,3.951,1,36,60
MIN,3.825,1,34,51
PIT,3.807,1,39,68
DAL,3.673,1,27,57
CIN,3.596,1,35,64
NE,3.422,1,50,84
BUF,2.930,1,26,43
MIA,2.924,1,24,48
DEN,2.770,1,36,68
TEN,2.597,1,22,41
NYG,2.516,1,29,55
ATL,2.513,1,35,61
SF,2.077,1,37,62
OAK,1.827,1,21,38
NYJ,1.765,1,31,54
CLE,1.757,1,22,33
HOU,1.454,1,29,54
CHI,1.225,1,28,54
WAS,0.766,1,22,38
JAC,0.752,1,23,34
SD,0.160,1,32,58
KC,0.021,1,27,51
IND,0.011,1,37,65
PHI,0.006,1,28,59
TB,-1.200,0,17,36
CAR,-1.687,0,31,55
