NE,9.875,1,7,13
HOU,6.875,0,5,10
GB,6.375,1,8,15
PHI,4.125,1,3,8
NO,2.750,1,8,13
CIN,2.375,0,4,9
SF,2.125,1,7,13
BAL,1.500,1,8,12
TEN,1.125,0,5,9
DET,1.000,1,5,10
MIA,-0.125,1,4,6
SEA,-0.500,1,4,7
NYG,-0.875,1,4,9
ATL,-2.000,1,6,10
SD,-2.625,1,5,8
PIT,-2.750,1,7,12
DEN,-3.125,0,3,8
CAR,-3.250,1,3,6
OAK,-3.625,0,3,8
CHI,-4.250,1,5,8
DAL,-4.375,1,5,8
NYJ,-4.625,1,6,8
ARI,-5.875,1,6,8
WAS,-5.875,1,2,5
CLE,-6.250,1,3,4
KC,-7.875,0,3,7
JAC,-9.000,1,4,5
MIN,-10.625,1,1,3
BUF,-11.875,1,5,6
STL,-16.875,1,1,2
IND,-17.875,1,2,2
TB,-18.375,1,3,4
