NO,12.250,1,25,42
ARI,11.781,1,20,28
GB,10.531,1,26,44
BUF,10.188,1,15,22
SEA,9.562,1,24,38
BAL,8.594,1,27,42
SF,8.062,1,24,42
NYJ,7.375,1,20,33
IND,7.344,1,21,34
PIT,7.062,1,22,40
DET,6.688,1,15,27
MIN,6.250,1,17,24
NYG,6.094,1,19,35
SD,6.062,1,19,33
CIN,5.500,1,19,34
DAL,5.344,1,16,30
DEN,5.031,1,20,38
ATL,4.875,1,23,40
TB,4.438,1,13,25
STL,4.375,1,15,23
CLE,3.750,1,13,18
HOU,3.406,1,16,30
TEN,3.281,1,15,28
OAK,2.906,1,14,24
KC,2.781,1,16,30
CHI,2.219,1,20,37
NE,2.000,1,29,51
CAR,1.625,1,15,27
MIA,1.281,1,14,28
WAS,1.188,1,11,24
PHI,0.250,1,13,32
JAC,-0.906,0,11,19
