NO,0.750,1,19,37
PHI,0.667,0,13,29
GB,0.625,1,21,36
PIT,0.625,1,18,33
NE,0.583,1,23,37
NYG,0.583,0,13,27
ATL,0.542,1,19,32
SD,0.542,1,17,30
NYJ,0.542,1,15,28
BAL,0.500,1,21,33
DAL,0.500,1,13,25
HOU,0.500,1,13,25
CHI,0.458,1,15,26
MIA,0.458,0,9,20
OAK,0.458,0,10,21
IND,0.458,1,15,26
TEN,0.417,1,13,23
CIN,0.417,1,13,23
DEN,0.417,0,10,20
KC,0.417,1,11,21
SF,0.375,1,18,27
ARI,0.375,1,14,23
TB,0.375,0,8,17
MIN,0.333,1,13,21
WAS,0.333,0,7,15
DET,0.292,1,11,18
JAC,0.250,1,14,20
SEA,0.250,1,13,19
BUF,0.250,1,10,16
CAR,0.250,1,10,16
CLE,0.208,1,9,14
STL,0.167,1,6,10
