SEA,0.375,1,21,30
BAL,0.344,1,27,43
SF,0.312,1,24,38
NE,0.281,1,29,49
GB,0.281,1,28,47
MIN,0.281,1,20,31
JAC,0.250,1,15,22
ARI,0.250,1,18,28
ATL,0.219,1,26,45
IND,0.219,1,22,37
CLE,0.219,1,13,19
BUF,0.188,1,14,22
PIT,0.156,1,23,41
TEN,0.156,1,17,29
DET,0.125,1,13,22
CHI,0.125,1,20,36
SD,0.094,1,20,37
CAR,0.094,1,13,23
STL,0.094,1,10,17
NO,0.062,1,23,44
NYG,0.062,1,19,36
NYJ,0.062,1,18,34
HOU,0.031,1,19,37
DEN,0.031,1,17,33
CIN,0.031,1,17,33
DAL,0.031,1,17,33
OAK,0.031,1,13,25
MIA,0.031,1,14,27
KC,0.031,1,12,23
WAS,-0.031,0,12,25
TB,-0.062,0,11,24
PHI,-0.094,0,15,33
