BAL,19.250,1,27,43
PIT,19.312,1,23,41
CHI,20.250,1,20,36
MIA,20.406,0,14,27
GB,20.594,1,28,47
SF,21.000,1,24,38
NE,21.250,1,29,49
ATL,21.281,1,26,45
NYJ,21.844,1,18,34
DAL,21.906,0,17,33
CIN,22.062,1,17,33
HOU,22.125,1,19,37
WAS,22.781,0,12,25
STL,23.125,0,10,17
SD,23.188,1,20,37
PHI,23.188,0,15,33
CLE,23.250,1,13,19
DEN,23.281,1,17,33
ARI,23.594,1,18,28
NO,24.219,1,23,44
NYG,24.344,1,19,36
MIN,24.344,1,20,31
CAR,24.750,1,13,23
SEA,24.969,1,21,30
KC,25.000,1,12,23
TEN,25.125,1,17,29
TB,25.188,1,11,24
JAC,26.000,1,15,22
OAK,26.125,1,13,25
IND,26.406,1,22,37
BUF,28.219,1,14,22
DET,28.344,1,13,22
