BAL,8.062,1,27,43
GB,6.000,1,28,47
SEA,5.656,1,21,30
DAL,5.500,1,17,33
ARI,5.312,1,18,28
MIN,4.375,1,20,31
SF,4.375,1,24,38
DET,4.062,1,13,22
MIA,4.000,1,14,27
NYG,3.906,1,19,36
TEN,3.844,1,17,29
STL,3.625,1,10,17
CHI,3.344,1,20,36
BUF,2.969,1,14,22
NO,2.938,1,23,44
NE,2.406,1,29,49
PIT,2.375,1,23,41
ATL,1.688,1,26,45
OAK,1.500,1,13,25
JAC,1.406,1,15,22
DEN,1.375,1,17,33
CIN,1.188,1,17,33
HOU,1.031,1,19,37
KC,0.906,1,12,23
PHI,0.500,1,15,33
CLE,0.375,1,13,19
IND,0.281,1,22,37
SD,0.094,1,20,37
WAS,-0.125,0,12,25
NYJ,-0.156,0,18,34
TB,-0.906,0,11,24
CAR,-3.500,0,13,23
