NE,7.925,1,37,61
GB,3.325,1,32,55
NO,2.300,1,31,55
SD,2.250,1,25,46
PHI,1.225,1,19,43
SF,1.200,1,30,50
PIT,0.900,1,28,49
DEN,0.850,1,24,46
ATL,0.550,1,29,49
HOU,-0.625,1,20,39
BAL,-0.800,1,33,51
CHI,-1.375,1,25,44
CIN,-1.500,1,25,44
DAL,-2.025,1,22,41
CAR,-2.125,1,20,35
IND,-2.525,1,28,48
MIA,-2.550,1,18,35
NYG,-2.750,1,23,43
NYJ,-2.800,1,24,42
WAS,-3.950,0,14,28
SEA,-4.125,1,28,43
KC,-4.275,1,17,34
MIN,-4.925,1,25,36
TEN,-5.125,1,20,36
ARI,-6.075,1,24,38
TB,-6.150,1,14,28
DET,-6.400,1,17,29
OAK,-7.450,1,16,29
CLE,-7.650,1,16,23
STL,-8.975,1,15,24
JAC,-8.975,1,16,26
BUF,-9.975,1,18,28
