SF,12.708,1,18,27
SEA,12.208,1,13,19
BAL,10.542,1,21,33
DET,9.917,1,11,18
BUF,8.167,1,10,16
NE,7.917,1,23,37
GB,7.875,1,21,36
JAC,7.667,1,14,20
MIN,7.583,1,13,21
PIT,6.958,1,18,33
SD,6.583,1,17,30
ATL,6.417,1,19,32
TEN,6.208,1,13,23
DAL,6.208,1,13,25
CHI,5.833,1,15,26
NO,5.417,1,19,37
NYJ,5.375,1,15,28
STL,5.333,1,6,10
CIN,5.083,1,13,23
ARI,4.292,1,14,23
IND,3.958,1,15,26
KC,2.333,1,11,21
CLE,2.000,1,9,14
NYG,1.917,1,13,27
CAR,1.333,1,10,16
HOU,1.125,1,13,25
MIA,0.583,1,9,20
OAK,0.375,1,10,21
DEN,-0.250,0,10,20
PHI,-0.917,0,13,29
WAS,-1.000,0,7,15
TB,-2.583,0,8,17
