CIN,7.583,1,17,31
GB,7.167,1,19,31
DEN,6.208,1,22,38
SEA,6.125,1,22,36
DET,6.000,1,13,22
NYG,5.958,1,13,22
NO,5.500,1,15,25
ARI,5.375,1,17,26
BUF,5.167,1,13,21
OAK,5.042,1,9,11
MIN,4.875,1,17,22
HOU,4.750,1,12,23
BAL,4.292,1,18,28
NE,4.208,1,21,36
STL,3.542,1,12,20
NYJ,3.333,1,11,18
CLE,2.625,1,11,16
MIA,2.625,1,13,23
PIT,2.042,1,16,27
TEN,1.917,1,8,15
DAL,1.750,1,13,28
PHI,1.333,1,12,24
KC,0.667,1,12,22
ATL,0.458,1,13,23
IND,0.417,1,19,33
TB,-0.583,0,6,13
WAS,-0.792,0,10,17
SF,-0.958,0,16,31
SD,-1.583,0,13,25
CAR,-2.333,0,14,26
CHI,-3.375,0,12,23
JAC,-3.708,0,5,9
