NO,13.905,1,3,5
DET,8.429,1,3,4
PIT,7.976,1,5,8
ATL,6.571,1,3,6
NYJ,6.190,1,5,8
WAS,6.095,1,5,6
CLE,4.881,1,2,3
STL,4.619,1,4,5
DAL,2.429,1,1,4
BUF,2.214,1,3,6
JAC,1.690,1,4,5
SEA,1.571,1,4,8
CAR,1.452,1,7,13
NE,1.095,1,6,11
MIA,0.976,1,2,5
SD,0.738,1,2,3
GB,0.714,1,5,9
TEN,-0.071,0,1,3
NYG,-0.310,0,3,6
CHI,-0.762,0,1,5
BAL,-1.024,0,2,4
DEN,-1.143,0,4,10
KC,-1.167,0,4,8
ARI,-1.214,0,5,11
PHI,-1.214,0,3,6
IND,-1.214,0,3,6
MIN,-1.571,0,4,8
SF,-1.786,0,3,4
HOU,-2.000,0,4,6
OAK,-3.095,0,2,6
TB,-3.738,0,3,6
CIN,-4.833,0,5,10
