NO,1.755,1,3,5
DET,1.527,1,3,4
PIT,1.360,1,5,8
ATL,1.357,1,3,6
STL,1.338,1,4,5
WAS,1.332,1,5,6
CLE,1.308,1,2,3
NYJ,1.286,1,5,8
DAL,1.147,1,1,4
BUF,1.095,1,3,6
JAC,1.070,1,4,5
SEA,1.062,1,4,8
MIA,1.049,1,2,5
CAR,1.047,1,7,13
SD,1.039,1,2,3
NE,1.036,1,6,11
GB,1.030,1,5,9
TEN,0.996,0,1,3
NYG,0.988,0,3,6
CHI,0.964,0,1,5
ARI,0.962,0,5,11
KC,0.955,0,4,8
BAL,0.953,0,2,4
PHI,0.949,0,3,6
DEN,0.948,0,4,10
IND,0.944,0,3,6
MIN,0.924,0,4,8
HOU,0.905,0,4,6
SF,0.883,0,3,4
OAK,0.873,0,2,6
TB,0.845,0,3,6
CIN,0.838,0,5,10
