DAL,1.489,0,27,57
MIA,1.284,0,24,48
STL,-0.055,1,22,35
OAK,-0.308,1,21,38
TB,-0.661,1,17,36
DEN,-1.055,1,36,68
WAS,-1.169,1,22,38
CIN,-1.381,1,35,64
TEN,-1.441,1,22,41
CHI,-1.542,1,28,54
HOU,-1.633,1,29,54
ARI,-1.790,1,36,60
NYG,-1.889,1,29,55
MIN,-1.977,1,34,51
KC,-2.285,1,27,51
PHI,-2.390,1,28,59
NO,-2.467,1,37,67
CLE,-2.546,1,22,33
DET,-2.855,1,27,44
ATL,-2.914,1,35,61
NE,-2.990,1,50,84
PIT,-3.160,1,39,68
JAC,-3.369,1,23,34
CAR,-3.591,1,31,55
GB,-3.774,1,45,76
SD,-3.872,1,32,58
NYJ,-4.208,1,31,54
BAL,-4.359,1,41,65
SEA,-4.366,1,39,63
BUF,-4.701,1,26,43
SF,-5.820,1,37,62
IND,-6.191,1,37,65
