STL,1.300,1,22,35
DET,1.290,1,27,44
GB,1.243,1,45,76
SEA,1.235,1,39,63
BAL,1.215,1,41,65
NO,1.209,1,37,67
ARI,1.204,1,36,60
MIN,1.186,1,34,51
PIT,1.176,1,39,68
CIN,1.169,1,35,64
DAL,1.164,1,27,57
MIA,1.155,1,24,48
BUF,1.152,1,26,43
TEN,1.135,1,22,41
NE,1.119,1,50,84
DEN,1.113,1,36,68
ATL,1.111,1,35,61
NYG,1.110,1,29,55
CLE,1.107,1,22,33
SF,1.103,1,37,62
OAK,1.098,1,21,38
NYJ,1.088,1,31,54
HOU,1.066,1,29,54
CHI,1.057,1,28,54
JAC,1.043,1,23,34
WAS,1.039,1,22,38
SD,1.007,1,32,58
KC,1.001,1,27,51
IND,1.000,1,37,65
PHI,1.000,1,28,59
TB,0.940,0,17,36
CAR,0.926,0,31,55
