NE,0.909,1,50,84
GB,0.818,1,45,76
BAL,0.759,1,41,65
SEA,0.722,1,39,63
PIT,0.709,1,39,68
NO,0.685,1,37,67
SF,0.685,1,37,62
IND,0.685,1,37,65
ARI,0.667,1,36,60
DEN,0.667,1,36,68
ATL,0.648,1,35,61
CIN,0.636,1,35,64
MIN,0.630,1,34,51
SD,0.582,1,32,58
NYJ,0.564,1,31,54
CAR,0.564,1,31,55
NYG,0.537,1,29,55
HOU,0.527,1,29,54
PHI,0.519,0,28,59
CHI,0.509,1,28,54
DAL,0.500,0,27,57
KC,0.500,1,27,51
DET,0.491,1,27,44
BUF,0.481,1,26,43
MIA,0.444,1,24,48
JAC,0.418,1,23,34
STL,0.400,1,22,35
TEN,0.400,1,22,41
CLE,0.400,1,22,33
WAS,0.400,1,22,38
OAK,0.389,1,21,38
TB,0.309,0,17,36
