NE,6.833,1,23,37
GB,6.750,1,21,36
NO,6.750,1,19,37
PHI,5.083,0,13,29
SD,2.583,1,17,30
PIT,2.458,1,18,33
HOU,1.958,1,13,25
BAL,1.583,1,21,33
ATL,1.292,1,19,32
NYJ,1.250,1,15,28
NYG,-0.625,1,13,27
DAL,-1.208,1,13,25
MIA,-1.833,1,9,20
IND,-2.625,1,15,26
CHI,-2.667,1,15,26
SF,-3.042,1,18,27
CIN,-3.333,1,13,23
TEN,-3.583,1,13,23
MIN,-4.167,1,13,21
WAS,-4.167,0,7,15
DEN,-4.167,0,10,20
OAK,-4.708,1,10,21
ARI,-4.875,1,14,23
CAR,-5.417,1,10,16
KC,-5.667,1,11,21
TB,-5.792,0,8,17
CLE,-6.833,1,9,14
DET,-8.125,1,11,18
JAC,-8.875,1,14,20
BUF,-9.750,1,10,16
SEA,-10.292,1,13,19
STL,-13.375,1,6,10
